Keyword,Search_Volume,Total_Results,BSR_Min,BSR_Avg,BSR_Max,Price_Min,Price_Avg,Price_Max,Reviews_Min,Reviews_Avg,Reviews_Max,Sales_Min,Sales_Avg,Sales_Max,Revenue_Min,Revenue_Avg,Revenue_Max,Revenue_Total,Oppurtunity_Score,Use
11children shoes office shoes,0,272,1456,22576,62712,379,577,799,0,3,19,1,8,30,599,4087,12784,40873,0,NO
361 shoes white shoes,0,230,65120,65120,65120,1764,1764,1764,0,0,0,1,1,1,1764,1764,1764,17640,1,YES
a6 shoes running shoes white colour,0,2,7,84810,438890,299,741,1299,0,414,2878,0,91,336,0,80637,334656,645094,6,YES
aces shoes running shoes,0,50,663,65085,335402,454,1307,2799,0,51,249,0,10,50,0,12526,61578,112731,2,NO
action shoes for men shoes,0,739,903,5301,11836,559,720,1299,0,35,216,5,15,41,2995,11178,24559,100600,3,YES
adidas shoes,260,5000,452,4801,16747,1349,2474,3999,0,29,133,4,25,63,9995,55549,120267,555493,5,YES
all shoes company shoes men,0,8000,2,189,785,449,776,1739,37,1047,3232,45,187,460,56387,128637,350649,1157730,6,YES
all shoes men sports shoes,0,20000,2,6470,39503,475,740,1610,0,930,3894,1,146,460,1610,98485,289575,984848,4,NO
all star shoes for men shoes,0,1000,114,15299,75240,340,1970,4999,0,128,659,1,24,125,4688,33539,194875,335392,6,YES
allen shoes for men shoes,0,1000,618,8539,55738,999,1576,2067,0,120,466,1,17,52,1648,24672,53592,246718,4,YES
allen shoes running shoes,0,98,643,11975,41028,999,1254,1449,0,11,85,1,15,51,1399,17365,64950,173654,3,NO
allen shoes sport shoes,0,115,216,11471,43972,999,1313,1749,0,51,466,1,24,83,999,33863,136037,338626,5,YES
allstar shoes for men shoes,0,1000,114,11217,38359,409,1738,3149,0,123,659,1,24,125,1080,36013,194875,360129,5,YES
amico shoes running shoes,0,43,68,11020,27840,449,494,499,0,15,97,2,38,156,998,18727,77844,187274,0,NO
appe shoes red shoes,0,93,1703,22189,51958,409,536,600,0,7,22,1,7,27,599,3567,15120,32101,3,NO
appe shoes sneaker shoes,0,194,6036,27758,92944,489,578,600,0,7,23,0,4,10,0,2282,5990,22823,2,NO
asion shoes for men shoes,0,10000,1,855,4385,389,511,648,7,525,3209,13,139,532,7137,72805,265468,655243,7,YES
axonza shoes for black shoe,0,115,2428,17756,44372,399,484,599,0,215,484,1,8,21,399,3792,10479,37916,3,NO
bata shoes for men shoes,0,2000,199,9162,43226,599,913,1499,8,142,457,1,33,96,824,27707,80160,277069,4,YES
batar shoes formal shoes,0,1000,185,11755,56141,549,949,1499,1,51,174,1,30,100,549,26089,74900,260894,4,NO
belt shoes in school shoes,0,5000,6,1384,5379,284,660,975,0,394,3197,11,90,351,4260,65795,289575,657945,5,YES
big shoes small shoes,0,2000,3,80,565,232,800,1749,485,1856,3496,55,258,418,81432,163914,289575,1639141,4,YES
black shoe black shoe,260,80000,6,688,4065,394,755,1409,4,579,3197,14,174,351,12586,142967,289575,1286705,4,NO
board shoes skating shoes,0,109,3200,21493,46133,199,6972,29519,0,1,5,0,8,24,0,6137,25143,30686,3,NO
boot shoes,40,70000,52,3481,14199,399,569,899,0,50,407,4,55,173,2994,30176,103627,271587,6,YES
boys shoes boys shoes,22200,100000,21,5889,37188,339,500,999,0,76,288,1,115,330,439,50959,141570,509589,5,YES
boys shoes girls shoes,20,50000,21,19794,147179,171,371,549,4,191,616,0,58,225,0,21619,78525,216194,4,YES
bravo shoes for men all shoes,0,17,91,96031,247460,489,1683,4899,0,298,1485,0,36,138,0,27290,89562,109158,7,YES
breathable shoes running shoes,0,10000,6,3796,8585,399,782,1349,0,333,3198,7,57,351,4788,49407,315549,444663,5,YES
c shoes,0,10000,1951,11154,24907,399,947,2747,0,12,55,2,9,25,1398,7452,17592,74516,1,NO
campus shoes campus shoes,90,3000,317,3126,10623,419,1012,1589,1,39,121,6,33,76,4792,30685,74683,306847,5,YES
campus shoes for men shoes,10,931,160,2554,8194,767,1164,1778,44,193,365,9,40,104,13290,41445,79768,414447,6,YES
campus shoes in sports shoes,0,181,1793,15691,52778,499,1039,1450,0,24,81,1,13,26,999,16110,37414,144992,2,NO
canvas shoes canvas shoes,20,50000,112,112,112,599,599,599,3881,3881,3881,126,126,126,75474,75474,75474,754740,5,YES
casule shoe shoe under 400,n/a,40000,8,386,1153,238,420,499,29,498,1286,35,169,433,13611,75429,216067,678865,5,YES
cat shoes,n/a,10000,327,28691,149310,800,3360,6999,0,4,14,0,15,75,0,37421,179925,336791,3,NO
cat shoes black,n/a,2000,682,20131,56905,280,2753,7489,0,5,19,1,10,49,560,28434,137151,227468,4,YES
centrino shoes,n/a,n/a,251,6996,40324,499,662,974,0,66,233,1,29,86,599,17096,47214,170959,1,NO
cloth shoes stylish shoes,n/a,2000,3,162,332,305,548,1559,193,572,2253,74,175,418,26535,97257,245784,972567,7,YES
coaster shoes coaster shoes,n/a,1000,14733,86249,302540,675,926,1399,0,4,15,0,2,4,0,1689,5596,16894,0,NO
columbus shoes for men shoes,n/a,374,1126,6783,19580,498,574,664,2,29,104,4,15,34,2336,8625,19856,86246,2,NO
combo shoes of three shoes,n/a,10000,58,6569,44571,440,625,799,0,159,1415,1,43,166,699,25882,107734,258822,4,YES
combos shoes sports shoes,n/a,20000,174,9005,44320,549,671,899,0,44,215,1,28,103,569,18094,56547,180942,1,NO
commando shoes commando shoes,n/a,111,2748,15044,49399,899,967,1160,0,8,35,0,7,19,949,7163,18240,64464,2,NO
